vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2260,2025-11-13T14:51:39-06:00,Activities and Recreation,Fourth and Gregory,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.10145,-88.23435,ILLINI South
2261,2025-11-13T14:51:24-06:00,University and Goodwin,Fairview and Lincoln,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.116383,-88.2198,ILLINI North
2022,2025-11-13T14:51:30-06:00,Linview and Killarney,Unknown,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.132417,-88.219283,ILLINI North
2365,2025-11-13T14:51:30-06:00,Fifth and Armory,Transit Plaza,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105433,-88.228967,ILLINI North
2017,2025-11-13T14:51:30-06:00,Pennsylvania and Maryland Dr.,Lincoln and Oregon,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.103283,-88.219133,ILLINI North
2367,2025-11-13T14:52:39-06:00,Lincoln and Wascher,Lincoln and Church,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.120217,-88.219533,ILLINI South
2020,2025-11-13T14:52:33-06:00,Gregory at Library,Fourth and Peabody,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10415,-88.23185,ILLINI North
2018,2025-11-13T14:52:12-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:52:39-06:00,Fourth and Peabody,Gregory at Library,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.10385,-88.233367,ILLINI South
2261,2025-11-13T14:52:39-06:00,University and Goodwin,Fairview and Lincoln,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.116383,-88.219583,ILLINI North
2022,2025-11-13T14:52:36-06:00,Lincoln and Kettering Park,ONYX Apartments,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.129233,-88.2196,ILLINI South
2365,2025-11-13T14:52:39-06:00,Armory and Wright,Illini Union,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.107633,-88.228817,ILLINI North
2017,2025-11-13T14:52:36-06:00,LAR,Lincoln and Illinois,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105467,-88.219167,ILLINI North
2367,2025-11-13T14:53:39-06:00,Lincoln and Church,Goodwin and Clark,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.117667,-88.2195,ILLINI South
2020,2025-11-13T14:53:33-06:00,Gregory at Library,Fourth and Peabody,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.104133,-88.233233,ILLINI North
2018,2025-11-13T14:52:12-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:53:39-06:00,Fourth and Gregory,Gregory at Mumford Hall,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.10415,-88.2296,ILLINI South
2261,2025-11-13T14:53:39-06:00,Lincoln and Church,Lincoln and Wascher,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.11985,-88.219367,ILLINI North
2022,2025-11-13T14:53:36-06:00,ONYX Apartments,Fairview and Lincoln,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.12395,-88.219533,ILLINI South
2365,2025-11-13T14:53:33-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.108933,-88.228817,ILLINI North
2017,2025-11-13T14:53:36-06:00,Lincoln and Oregon,Illinois Street Residence Hall,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.108683,-88.219267,ILLINI North
2367,2025-11-13T14:54:39-06:00,Campus Circle,Goodwin and Main,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.11645,-88.221967,ILLINI South
2020,2025-11-13T14:54:33-06:00,Fourth and Gregory,Activities and Recreation,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.103267,-88.23345,ILLINI North
2018,2025-11-13T14:52:12-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:54:39-06:00,Fourth and Gregory,Gregory at Mumford Hall,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.10415,-88.228417,ILLINI South
2261,2025-11-13T14:54:39-06:00,Lincoln and Wascher,Lincoln and Bradley,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.124367,-88.219417,ILLINI North
2022,2025-11-13T14:54:36-06:00,Fairview and Lincoln,Campus Circle,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.118383,-88.219517,ILLINI South
2365,2025-11-13T14:54:36-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.110267,-88.228017,ILLINI North
2017,2025-11-13T14:54:36-06:00,Lincoln and Illinois,Chemical and Life Sciences,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1091,-88.22205,ILLINI North
2367,2025-11-13T14:55:27-06:00,Goodwin and Clark,Goodwin at Ceramics Building,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.11555,-88.2241,ILLINI South
